Names,Cases
Telford and Wrekin,[0, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Thurrock,[1, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Torbay,[7, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Tower Hamlets,[12, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Trafford,[7, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Wakefield,[3, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Walsall,[11, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Waltham Forest,[4, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Wandsworth,[20, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Warrington,[1, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Warwickshire,[4, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
West Berkshire,[3, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
West Sussex,[5, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Westminster,[37, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Wigan,[3, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Wiltshire,[7, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Windsor and Maidenhead,[6, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Wirral,[5, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Wokingham,[6, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Wolverhampton,[11, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
Worcestershire,[3, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
York,[4, '17/03/2020 02:18', 'https://www.arcgis.com/home/item.html?id=e5fd11150d274bebaaf8fe2a7a2bda11']
