Names,Cases
Wuppertal,[6, '14/03/2020 11:00', 'https://www.mags.nrw/coronavirus-fallzahlen-nrw']
Flensburg,[1, '13/03/2020 14:00', 'https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_tabelle.html']
Kiel,[11, '13/03/2020 14:00', 'https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_tabelle.html']
Lübeck,[8, '13/03/2020 14:00', 'https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_tabelle.html']
Neumünster,[0, '13/03/2020 14:00', 'https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_tabelle.html']
Dithmarschen,[1, '13/03/2020 14:00', 'https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_tabelle.html']
Herzogtum Lauenburg,[5, '13/03/2020 14:00', 'https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_tabelle.html']
Nordfriesland,[1, '13/03/2020 14:00', 'https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_tabelle.html']
Ostholstein,[1, '13/03/2020 14:00', 'https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_tabelle.html']
Pinneberg,[5, '13/03/2020 14:00', 'https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_tabelle.html']
Plön,[2, '13/03/2020 14:00', 'https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_tabelle.html']
Rendsburg-Eckernförde,[1, '13/03/2020 14:00', 'https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_tabelle.html']
Schleswig-Flensburg,[5, '13/03/2020 14:00', 'https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_tabelle.html']
Segeberg,[4, '13/03/2020 14:00', 'https://www.schleswig-holstein.de/DE/Landesregierung/VIII/Presse/PI/2020/200313_VIII_Corona_tabelle.html']
